station,Datatime,lon,lat,airpressure,DryBulbSensor,HOBO_rh,HOBO_solar,HOBO_ws,Wet bulb_calculation,Globe bulb_calculation,WBGT_calculation,iso7243_Tg150,wet_bulb,globe_bulb_50mm,globe_bulb_150mm,WBGTo
SINICA,2019/10/21 15:20,121.61416670000001,25.0405,1013.25,23.655,67.47,100.3,0.4,20.0,24.8,21.3,25.16,20.0,24.8,25.16,21.4
SINICA,2019/10/21 15:30,121.61416670000001,25.0405,1013.25,23.693,67.3,99.8,0.25,20.19,24.98,21.5,25.34,20.19,24.98,25.34,21.57
SINICA,2019/10/21 15:40,121.61416670000001,25.0405,1013.25,23.641,67.53,110.8,0.6,19.92,24.9,21.3,25.34,19.92,24.9,25.34,21.38
SINICA,2019/10/21 15:50,121.61416670000001,25.0405,1013.25,23.674,67.75,93.2,0.3,20.11,24.73,21.4,25.04,20.11,24.73,25.04,21.45
SINICA,2019/10/21 16:00,121.61416670000001,25.0405,1013.25,23.52,67.77,79.4,0.35,19.82,24.14,21.1,24.33,19.82,24.14,24.33,21.09
SINICA,2019/10/21 16:10,121.61416670000001,25.0405,1013.25,23.478,67.85,66.5,0.2,19.85,23.78,21.0,23.86,19.85,23.78,23.86,21.01
SINICA,2019/10/21 16:20,121.61416670000001,25.0405,1013.25,23.344,67.89,56.2,0.4,19.48,23.26,20.6,23.23,19.48,23.26,23.23,20.62
SINICA,2019/10/21 16:30,121.61416670000001,25.0405,1013.25,23.288,68.02,51.9,0.45,19.39,23.1,20.5,23.04,19.39,23.1,23.04,20.51
SINICA,2019/10/21 16:40,121.61416670000001,25.0405,1013.25,23.284000000000002,68.27,56.8,0.15,19.72,23.21,20.8,23.19,19.72,23.21,23.19,20.77
SINICA,2019/10/21 16:50,121.61416670000001,25.0405,1013.25,23.138,68.73,31.0,0.25,19.28,22.29,20.3,22.05,19.28,22.29,22.05,20.22
SINICA,2019/10/21 17:00,121.61416670000001,25.0405,1013.25,22.976,69.09,15.8,0.25,19.04,21.66,20.0,21.29,19.04,21.66,21.29,19.88
SINICA,2019/10/21 17:10,121.61416670000001,25.0405,1013.25,22.851999999999997,69.69,7.9,0.2,18.93,21.2,19.8,20.77,18.93,21.2,20.77,19.69
SINICA,2019/10/21 17:20,121.61416670000001,25.0405,1013.25,22.717,70.65,2.0,0.1,18.84,20.58,19.6,20.14,18.84,20.58,20.14,19.49
SINICA,2019/10/21 17:30,121.61416670000001,25.0405,1013.25,22.33,72.67,1.0,0.15,18.74,20.36,19.4,19.89,18.74,20.36,19.89,19.33
SINICA,2019/10/21 17:40,121.61416670000001,25.0405,1013.25,22.08,74.18,1.0,0.0,18.66,19.94,19.3,19.94,18.66,19.94,19.94,19.26
SINICA,2019/10/21 17:50,121.61416670000001,25.0405,1013.25,21.9,75.11,1.0,0.0,18.59,19.76,19.2,19.76,18.59,19.76,19.76,19.16
SINICA,2019/10/21 18:00,121.61416670000001,25.0405,1013.25,21.406,76.91,1.0,0.0,18.32,19.26,18.8,19.26,18.32,19.26,19.26,18.82
SINICA,2019/10/21 18:10,121.61416670000001,25.0405,1013.25,21.044,79.14,1.0,0.0,18.22,18.92,18.6,18.92,18.22,18.92,18.92,18.64
SINICA,2019/10/21 18:20,121.61416670000001,25.0405,1013.25,20.831,80.95,1.0,0.0,18.23,18.73,18.6,18.73,18.23,18.73,18.73,18.59
SINICA,2019/10/21 18:30,121.61416670000001,25.0405,1013.25,20.485,82.5,1.0,0.0,18.06,18.39,18.4,18.39,18.06,18.39,18.39,18.37
SINICA,2019/10/21 18:40,121.61416670000001,25.0405,1013.25,20.031,84.34,1.0,0.0,17.82,17.93,18.1,17.93,17.82,17.93,17.93,18.06
SINICA,2019/10/21 18:50,121.61416670000001,25.0405,1013.25,19.952,85.64,1.0,0.0,17.88,17.87,18.1,17.87,17.88,17.87,17.87,18.09
SINICA,2019/10/21 19:00,121.61416670000001,25.0405,1013.25,19.942999999999998,86.39,1.0,0.0,17.95,17.88,18.1,17.88,17.95,17.88,17.88,18.14
SINICA,2019/10/21 19:10,121.61416670000001,25.0405,1013.25,19.872,87.04,1.0,0.0,17.94,17.82,18.1,17.82,17.94,17.82,17.82,18.11
SINICA,2019/10/21 19:20,121.61416670000001,25.0405,1013.25,20.076,87.21,1.0,0.0,18.17,18.05,18.3,18.05,18.17,18.05,18.05,18.34
SINICA,2019/10/21 19:30,121.61416670000001,25.0405,1013.25,20.107,86.99,1.0,0.0,18.18,18.08,18.4,18.08,18.18,18.08,18.08,18.35
SINICA,2019/10/21 19:40,121.61416670000001,25.0405,1013.25,20.087,86.9,1.0,0.0,18.15,18.06,18.3,18.06,18.15,18.06,18.06,18.33
SINICA,2019/10/21 19:50,121.61416670000001,25.0405,1013.25,20.063,87.04,1.0,0.0,18.14,18.03,18.3,18.03,18.14,18.03,18.03,18.31
SINICA,2019/10/21 20:00,121.61416670000001,25.0405,1013.25,20.07,87.34,1.0,0.0,18.18,18.05,18.3,18.05,18.18,18.05,18.05,18.34
SINICA,2019/10/21 20:10,121.61416670000001,25.0405,1013.25,20.105,87.47,1.0,0.0,18.23,18.09,18.4,18.09,18.23,18.09,18.09,18.39
SINICA,2019/10/21 20:20,121.61416670000001,25.0405,1013.25,20.129,87.78,1.0,0.0,18.29,18.13,18.4,18.13,18.29,18.13,18.13,18.44
SINICA,2019/10/21 20:30,121.61416670000001,25.0405,1013.25,20.335,87.55,1.0,0.0,18.47,18.35,18.6,18.35,18.47,18.35,18.35,18.63
SINICA,2019/10/21 20:40,121.61416670000001,25.0405,1013.25,20.448,87.2,1.0,0.0,18.55,18.47,18.7,18.47,18.55,18.47,18.47,18.72
SINICA,2019/10/21 20:50,121.61416670000001,25.0405,1013.25,20.343,87.15,1.0,0.0,18.44,18.35,18.6,18.35,18.44,18.35,18.35,18.61
SINICA,2019/10/21 21:00,121.61416670000001,25.0405,1013.25,20.272000000000002,87.57,1.0,0.0,18.41,18.28,18.6,18.28,18.41,18.28,18.28,18.57
SINICA,2019/10/21 21:10,121.61416670000001,25.0405,1013.25,20.382,87.73,1.0,0.0,18.54,18.41,18.7,18.41,18.54,18.41,18.41,18.7
SINICA,2019/10/21 21:20,121.61416670000001,25.0405,1013.25,20.486,87.55,1.0,0.0,18.63,18.52,18.8,18.52,18.63,18.52,18.52,18.79
SINICA,2019/10/21 21:30,121.61416670000001,25.0405,1013.25,20.429000000000002,87.17,1.0,0.0,18.53,18.45,18.7,18.45,18.53,18.45,18.45,18.7
SINICA,2019/10/21 21:40,121.61416670000001,25.0405,1013.25,20.157,87.46,1.0,0.0,18.28,18.15,18.4,18.15,18.28,18.15,18.15,18.44
SINICA,2019/10/21 21:50,121.61416670000001,25.0405,1013.25,19.872,88.23,1.0,0.0,18.08,17.85,18.2,17.85,18.08,17.85,17.85,18.21
SINICA,2019/10/21 22:00,121.61416670000001,25.0405,1013.25,19.759,89.09,1.0,0.0,18.06,17.77,18.2,17.77,18.06,17.77,17.77,18.17
SINICA,2019/10/21 22:10,121.61416670000001,25.0405,1013.25,19.573,89.74,1.0,0.0,17.93,17.57,18.0,17.57,17.93,17.57,17.57,18.02
SINICA,2019/10/21 22:20,121.61416670000001,25.0405,1013.25,19.687,89.87,1.0,0.0,18.06,17.7,18.2,17.7,18.06,17.7,17.7,18.15
SINICA,2019/10/21 22:30,121.61416670000001,25.0405,1013.25,20.23,87.36,1.0,0.45,18.58,18.87,18.8,18.43,18.58,18.87,18.43,18.72
SINICA,2019/10/21 22:40,121.61416670000001,25.0405,1013.25,20.246,85.03,1.0,0.2,18.23,18.5,18.5,18.05,18.23,18.5,18.05,18.4
SINICA,2019/10/21 22:50,121.61416670000001,25.0405,1013.25,20.086,84.83,1.0,0.0,17.92,18.0,18.2,18.0,17.92,18.0,18.0,18.15
SINICA,2019/10/21 23:00,121.61416670000001,25.0405,1013.25,19.817,85.65,1.0,0.0,17.74,17.74,17.9,17.74,17.74,17.74,17.74,17.95
SINICA,2019/10/21 23:10,121.61416670000001,25.0405,1013.25,19.467,86.98,1.0,0.0,17.53,17.39,17.7,17.39,17.53,17.39,17.39,17.7
SINICA,2019/10/21 23:20,121.61416670000001,25.0405,1013.25,19.117,88.97,1.0,0.0,17.39,17.04,17.5,17.04,17.39,17.04,17.04,17.49
SINICA,2019/10/21 23:30,121.61416670000001,25.0405,1013.25,19.262,89.24,1.0,0.0,17.56,17.21,17.7,17.21,17.56,17.21,17.21,17.66
SINICA,2019/10/21 23:40,121.61416670000001,25.0405,1013.25,19.298,88.87,1.0,0.0,17.57,17.24,17.7,17.24,17.57,17.24,17.24,17.68
SINICA,2019/10/21 23:50,121.61416670000001,25.0405,1013.25,19.158,88.7,1.0,0.0,17.41,17.08,17.5,17.08,17.41,17.08,17.08,17.52
SINICA,2019/10/22 00:00,121.61416670000001,25.0405,1013.25,18.938,89.01,1.0,0.0,17.21,16.84,17.3,16.84,17.21,16.84,16.84,17.31
SINICA,2019/10/22 00:10,121.61416670000001,25.0405,1013.25,18.772000000000002,89.7,1.0,0.0,17.11,16.68,17.2,16.68,17.11,16.68,16.68,17.19
SINICA,2019/10/22 00:20,121.61416670000001,25.0405,1013.25,18.705,90.39,1.0,0.0,17.06,16.62,17.1,16.62,17.06,16.62,16.62,17.14
SINICA,2019/10/22 00:30,121.61416670000001,25.0405,1013.25,18.596,90.9,1.0,0.0,17.0,16.51,17.1,16.51,17.0,16.51,16.51,17.06
SINICA,2019/10/22 00:40,121.61416670000001,25.0405,1013.25,18.633,91.18,1.0,0.0,17.06,16.56,17.1,16.56,17.06,16.56,16.56,17.12
SINICA,2019/10/22 00:50,121.61416670000001,25.0405,1013.25,18.523,91.26,1.0,0.0,16.96,16.43,17.0,16.43,16.96,16.43,16.43,17.01
SINICA,2019/10/22 01:00,121.61416670000001,25.0405,1013.25,18.433,91.54,1.0,0.0,16.89,16.34,16.9,16.34,16.89,16.34,16.34,16.93
SINICA,2019/10/22 01:10,121.61416670000001,25.0405,1013.25,18.31,91.77,1.0,0.0,16.8,16.21,16.8,16.21,16.8,16.21,16.21,16.83
SINICA,2019/10/22 01:20,121.61416670000001,25.0405,1013.25,18.245,92.04,1.0,0.0,16.75,16.14,16.8,16.14,16.75,16.14,16.14,16.78
SINICA,2019/10/22 01:30,121.61416670000001,25.0405,1013.25,18.105,92.36,1.0,0.0,16.63,15.99,16.6,15.99,16.63,15.99,15.99,16.65
SINICA,2019/10/22 01:40,121.61416670000001,25.0405,1013.25,18.151,92.71,1.0,0.0,16.73,16.05,16.7,16.05,16.73,16.05,16.05,16.74
SINICA,2019/10/22 01:50,121.61416670000001,25.0405,1013.25,18.226,92.82,1.0,0.0,16.82,16.14,16.8,16.14,16.82,16.14,16.14,16.82
SINICA,2019/10/22 02:00,121.61416670000001,25.0405,1013.25,18.367,92.95,1.0,0.0,16.98,16.3,17.0,16.3,16.98,16.3,16.3,16.98
SINICA,2019/10/22 02:10,121.61416670000001,25.0405,1013.25,18.39,93.0,1.0,0.0,17.01,16.33,17.0,16.33,17.01,16.33,16.33,17.01
SINICA,2019/10/22 02:20,121.61416670000001,25.0405,1013.25,18.314,93.06,1.0,0.0,16.93,16.24,16.9,16.24,16.93,16.24,16.24,16.93
SINICA,2019/10/22 02:30,121.61416670000001,25.0405,1013.25,18.302,93.04,1.0,0.0,16.92,16.23,16.9,16.23,16.92,16.23,16.23,16.92
SINICA,2019/10/22 02:40,121.61416670000001,25.0405,1013.25,18.294,93.05,1.0,0.0,16.91,16.22,16.9,16.22,16.91,16.22,16.22,16.91
SINICA,2019/10/22 02:50,121.61416670000001,25.0405,1013.25,18.3,93.3,1.0,0.0,16.94,16.23,16.9,16.23,16.94,16.23,16.23,16.93
SINICA,2019/10/22 03:00,121.61416670000001,25.0405,1013.25,18.245,93.3,1.0,0.0,16.88,16.17,16.9,16.17,16.88,16.17,16.17,16.87
SINICA,2019/10/22 03:10,121.61416670000001,25.0405,1013.25,18.159000000000002,93.35,1.0,0.0,16.8,16.08,16.8,16.08,16.8,16.08,16.08,16.79
SINICA,2019/10/22 03:20,121.61416670000001,25.0405,1013.25,18.135,93.48,1.0,0.0,16.78,16.05,16.8,16.05,16.78,16.05,16.05,16.77
SINICA,2019/10/22 03:30,121.61416670000001,25.0405,1013.25,18.153,93.63,1.0,0.0,16.82,16.08,16.8,16.08,16.82,16.08,16.08,16.81
SINICA,2019/10/22 03:40,121.61416670000001,25.0405,1013.25,18.204,93.67,1.0,0.0,16.87,16.13,16.9,16.13,16.87,16.13,16.13,16.86
SINICA,2019/10/22 03:50,121.61416670000001,25.0405,1013.25,18.235,93.86,1.0,0.0,16.92,16.17,16.9,16.17,16.92,16.17,16.17,16.9
SINICA,2019/10/22 04:00,121.61416670000001,25.0405,1013.25,18.21,93.89,1.0,0.0,16.9,16.15,16.9,16.15,16.9,16.15,16.15,16.88
SINICA,2019/10/22 04:10,121.61416670000001,25.0405,1013.25,18.122,93.97,1.0,0.0,16.82,16.05,16.8,16.05,16.82,16.05,16.05,16.8
SINICA,2019/10/22 04:20,121.61416670000001,25.0405,1013.25,18.008,94.12,1.0,0.0,16.72,15.93,16.7,15.93,16.72,15.93,15.93,16.69
SINICA,2019/10/22 04:30,121.61416670000001,25.0405,1013.25,17.828,94.3,1.0,0.0,16.55,15.73,16.5,15.73,16.55,15.73,15.73,16.51
SINICA,2019/10/22 04:40,121.61416670000001,25.0405,1013.25,17.729,94.49,1.0,0.0,16.46,15.62,16.4,15.62,16.46,15.62,15.62,16.42
SINICA,2019/10/22 04:50,121.61416670000001,25.0405,1013.25,17.647000000000002,94.7,1.0,0.0,16.4,15.54,16.4,15.54,16.4,15.54,15.54,16.35
SINICA,2019/10/22 05:00,121.61416670000001,25.0405,1013.25,17.797,94.86,1.0,0.0,16.57,15.71,16.5,15.71,16.57,15.71,15.71,16.52
SINICA,2019/10/22 05:10,121.61416670000001,25.0405,1013.25,17.782,94.75,1.0,0.0,16.54,15.69,16.5,15.69,16.54,15.69,15.69,16.49
SINICA,2019/10/22 05:20,121.61416670000001,25.0405,1013.25,17.675,94.69,1.0,0.0,16.43,15.57,16.4,15.57,16.43,15.57,15.57,16.38
SINICA,2019/10/22 05:30,121.61416670000001,25.0405,1013.25,17.564,94.72,1.0,0.0,16.31,15.44,16.3,15.44,16.31,15.44,15.44,16.26
SINICA,2019/10/22 05:40,121.61416670000001,25.0405,1013.25,17.567999999999998,94.78,1.0,0.0,16.32,15.45,16.3,15.45,16.32,15.45,15.45,16.27
SINICA,2019/10/22 05:50,121.61416670000001,25.0405,1013.25,17.583,94.78,2.7,0.0,16.37,15.53,16.3,15.53,16.37,15.53,15.53,16.32
SINICA,2019/10/22 06:00,121.61416670000001,25.0405,1013.25,17.74,94.7,8.8,0.0,16.62,15.94,16.6,15.94,16.62,15.94,15.94,16.6
SINICA,2019/10/22 06:10,121.61416670000001,25.0405,1013.25,17.945,94.52,16.7,0.0,16.94,16.48,16.9,16.48,16.94,16.48,16.48,16.95
SINICA,2019/10/22 06:20,121.61416670000001,25.0405,1013.25,18.127,94.31,35.3,0.0,17.45,17.39,17.5,17.39,17.45,17.39,17.39,17.51
SINICA,2019/10/22 06:30,121.61416670000001,25.0405,1013.25,18.432000000000002,93.78,39.2,0.0,17.76,17.86,17.8,17.86,17.76,17.86,17.86,17.85
SINICA,2019/10/22 06:40,121.61416670000001,25.0405,1013.25,18.71,93.35,73.8,0.0,18.53,19.54,18.8,19.54,18.53,19.54,19.54,18.75
SINICA,2019/10/22 06:50,121.61416670000001,25.0405,1013.25,19.552,91.94,89.8,0.0,19.45,21.05,19.8,21.05,19.45,21.05,21.05,19.78
SINICA,2019/10/22 07:00,121.61416670000001,25.0405,1013.25,19.933,90.93,73.9,0.0,19.51,20.84,19.8,20.84,19.51,20.84,20.84,19.82
SINICA,2019/10/22 07:10,121.61416670000001,25.0405,1013.25,21.31,88.44,76.5,0.0,20.64,22.4,21.1,22.4,20.64,22.4,22.4,21.06
SINICA,2019/10/22 07:20,121.61416670000001,25.0405,1013.25,22.054000000000002,84.98,89.8,0.0,21.16,23.64,21.7,23.64,21.16,23.64,23.64,21.75
SINICA,2019/10/22 07:30,121.61416670000001,25.0405,1013.25,23.031,81.84,117.0,0.0,22.1,25.65,22.9,25.65,22.1,25.65,25.65,22.9
SINICA,2019/10/22 07:40,121.61416670000001,25.0405,1013.25,23.592,78.38,127.1,0.0,22.35,26.55,23.3,26.55,22.35,26.55,26.55,23.31
SINICA,2019/10/22 07:50,121.61416670000001,25.0405,1013.25,24.791,75.5,149.1,0.0,23.38,28.59,24.6,28.59,23.38,28.59,28.59,24.56
SINICA,2019/10/22 08:00,121.61416670000001,25.0405,1013.25,25.243000000000002,72.51,223.9,0.0,24.32,31.72,25.9,31.72,24.32,31.72,31.72,25.89
SINICA,2019/10/22 08:10,121.61416670000001,25.0405,1013.25,24.695,72.22,249.4,0.0,24.12,32.04,25.8,32.04,24.12,32.04,32.04,25.76
SINICA,2019/10/22 08:20,121.61416670000001,25.0405,1013.25,24.991,72.11,223.1,0.0,24.03,31.41,25.6,31.41,24.03,31.41,31.41,25.6
SINICA,2019/10/22 08:30,121.61416670000001,25.0405,1013.25,25.017,71.88,203.5,0.0,23.79,30.72,25.3,30.72,23.79,30.72,30.72,25.3
SINICA,2019/10/22 08:40,121.61416670000001,25.0405,1013.25,25.906999999999996,69.57,223.3,0.0,24.5,32.32,26.2,32.32,24.5,32.32,32.32,26.2
SINICA,2019/10/22 08:50,121.61416670000001,25.0405,1013.25,26.406999999999996,68.27,311.9,0.1,25.76,35.99,27.9,37.96,25.76,35.99,37.96,28.26
SINICA,2019/10/22 09:00,121.61416670000001,25.0405,1013.25,26.308000000000003,65.41,475.5,0.25,25.03,38.73,27.9,42.19,25.03,38.73,42.19,28.59
SINICA,2019/10/22 09:10,121.61416670000001,25.0405,1013.25,25.745,65.33,537.3,1.2,22.66,34.58,25.4,38.08,22.66,34.58,38.08,26.05
SINICA,2019/10/22 09:20,121.61416670000001,25.0405,1013.25,25.820999999999998,64.52,576.2,0.95,22.98,36.14,25.9,40.07,22.98,36.14,40.07,26.68
SINICA,2019/10/22 09:30,121.61416670000001,25.0405,1013.25,25.750999999999998,63.28,428.4,0.85,22.32,33.43,24.9,36.3,22.32,33.43,36.3,25.46
SINICA,2019/10/22 09:40,121.61416670000001,25.0405,1013.25,25.454,64.18,462.9,1.1,22.06,33.15,24.6,36.16,22.06,33.15,36.16,25.22
SINICA,2019/10/22 09:50,121.61416670000001,25.0405,1013.25,26.405,63.16,638.9,0.9,23.53,38.14,26.7,42.57,23.53,38.14,42.57,27.63
SINICA,2019/10/22 10:00,121.61416670000001,25.0405,1013.25,26.805999999999997,61.31,653.3,1.05,23.44,38.2,26.7,42.62,23.44,38.2,42.62,27.61
SINICA,2019/10/22 10:10,121.61416670000001,25.0405,1013.25,26.776999999999997,60.9,662.3,1.25,23.16,37.66,26.4,42.01,23.16,37.66,42.01,27.29
SINICA,2019/10/22 10:20,121.61416670000001,25.0405,1013.25,26.929000000000002,61.04,684.8,0.9,23.79,39.55,27.3,44.31,23.79,39.55,44.31,28.21
SINICA,2019/10/22 10:30,121.61416670000001,25.0405,1013.25,26.89,61.0,706.8,1.4,23.25,38.12,26.6,42.68,23.25,38.12,42.68,27.5
SINICA,2019/10/22 10:40,121.61416670000001,25.0405,1013.25,26.976,61.06,683.2,1.2,23.44,38.4,26.8,42.93,23.44,38.4,42.93,27.69
SINICA,2019/10/22 10:50,121.61416670000001,25.0405,1013.25,26.737,61.38,486.0,1.0,22.86,35.12,25.7,38.34,22.86,35.12,38.34,26.34
SINICA,2019/10/22 11:00,121.61416670000001,25.0405,1013.25,27.57,60.47,739.9,0.85,24.45,41.53,28.2,46.74,24.45,41.53,46.74,29.22
SINICA,2019/10/22 11:10,121.61416670000001,25.0405,1013.25,27.776,59.48,731.3,1.0,24.21,40.83,27.9,45.85,24.21,40.83,45.85,28.89
SINICA,2019/10/22 11:20,121.61416670000001,25.0405,1013.25,27.959,58.61,756.0,1.1,24.16,41.05,27.9,46.17,24.16,41.05,46.17,28.94
SINICA,2019/10/22 11:30,121.61416670000001,25.0405,1013.25,27.744,58.69,734.1,1.3,23.73,39.72,27.3,44.53,23.73,39.72,44.53,28.29
