station,Datatime,lon,lat,airpressure,DryBulbSensor,HOBO_rh,HOBO_solar,HOBO_ws,Wet bulb_calculation,Globe bulb_calculation,WBGT_calculation,iso7243_Tg150,wet_bulb,globe_bulb_50mm,globe_bulb_150mm,WBGTo
SINICA,2019/10/21 08:00,121.61416670000001,25.0405,1013.25,21.891,82.89,50.8,0.0,20.22,21.91,20.7,21.91,20.22,21.91,21.91,20.73
SINICA,2019/10/21 08:10,121.61416670000001,25.0405,1013.25,21.948,82.55,49.8,0.0,20.22,21.9,20.7,21.9,20.22,21.9,21.9,20.73
SINICA,2019/10/21 08:20,121.61416670000001,25.0405,1013.25,22.094,81.89,67.7,0.0,20.53,22.76,21.1,22.76,20.53,22.76,22.76,21.13
SINICA,2019/10/21 08:30,121.61416670000001,25.0405,1013.25,22.398000000000003,81.1,73.4,0.0,20.81,23.29,21.5,23.29,20.81,23.29,23.29,21.46
SINICA,2019/10/21 08:40,121.61416670000001,25.0405,1013.25,22.397,80.7,88.0,0.0,20.96,23.83,21.7,23.83,20.96,23.83,23.83,21.68
SINICA,2019/10/21 08:50,121.61416670000001,25.0405,1013.25,22.73,79.49,111.2,0.0,21.44,25.04,22.3,25.04,21.44,25.04,25.04,22.29
SINICA,2019/10/21 09:00,121.61416670000001,25.0405,1013.25,23.165,78.06,162.5,0.0,22.32,27.39,23.4,27.39,22.32,27.39,27.39,23.42
SINICA,2019/10/21 09:10,121.61416670000001,25.0405,1013.25,24.241999999999997,75.09,349.8,0.15,24.4,34.35,26.4,36.75,24.4,34.35,36.75,26.85
SINICA,2019/10/21 09:20,121.61416670000001,25.0405,1013.25,25.388,70.17,492.1,0.15,26.06,40.03,28.8,43.5,26.06,40.03,43.5,29.48
SINICA,2019/10/21 09:30,121.61416670000001,25.0405,1013.25,26.244,66.12,588.5,0.4,24.87,40.07,28.0,44.45,24.87,40.07,44.45,28.92
SINICA,2019/10/21 09:40,121.61416670000001,25.0405,1013.25,24.896,67.48,305.6,0.45,22.21,31.27,24.3,33.35,22.21,31.27,33.35,24.71
SINICA,2019/10/21 09:50,121.61416670000001,25.0405,1013.25,25.345,68.09,407.0,0.3,23.78,35.34,26.2,38.27,23.78,35.34,38.27,26.83
SINICA,2019/10/21 10:00,121.61416670000001,25.0405,1013.25,25.037,67.29,274.7,0.35,22.35,31.06,24.4,32.9,22.35,31.06,32.9,24.73
SINICA,2019/10/21 10:10,121.61416670000001,25.0405,1013.25,24.252,69.28,342.4,1.05,21.36,29.82,23.3,31.98,21.36,29.82,31.98,23.77
SINICA,2019/10/21 10:20,121.61416670000001,25.0405,1013.25,24.656999999999996,68.5,292.5,0.5,21.95,30.52,23.9,32.48,21.95,30.52,32.48,24.33
SINICA,2019/10/21 10:30,121.61416670000001,25.0405,1013.25,24.849,67.99,286.4,0.2,22.99,32.19,25.0,34.1,22.99,32.19,34.1,25.4
SINICA,2019/10/21 10:40,121.61416670000001,25.0405,1013.25,24.638,67.85,322.5,0.75,21.65,30.43,23.7,32.54,21.65,30.43,32.54,24.13
SINICA,2019/10/21 10:50,121.61416670000001,25.0405,1013.25,25.116,66.83,345.1,0.3,22.95,33.36,25.2,35.78,22.95,33.36,35.78,25.73
SINICA,2019/10/21 11:00,121.61416670000001,25.0405,1013.25,24.901,66.88,331.9,0.5,22.13,31.69,24.3,33.96,22.13,31.69,33.96,24.77
SINICA,2019/10/21 11:10,121.61416670000001,25.0405,1013.25,25.101999999999997,66.99,332.1,0.35,22.68,32.66,24.9,34.97,22.68,32.66,34.97,25.38
SINICA,2019/10/21 11:20,121.61416670000001,25.0405,1013.25,25.206999999999997,66.85,378.7,0.7,22.28,32.36,24.6,34.93,22.28,32.36,34.93,25.1
SINICA,2019/10/21 11:30,121.61416670000001,25.0405,1013.25,24.993000000000002,66.42,277.2,0.6,21.72,30.16,23.7,31.96,21.72,30.16,31.96,24.1
SINICA,2019/10/21 11:40,121.61416670000001,25.0405,1013.25,24.493000000000002,67.28,243.9,0.85,21.04,28.42,22.9,29.89,21.04,28.42,29.89,23.16
SINICA,2019/10/21 11:50,121.61416670000001,25.0405,1013.25,24.406999999999996,67.25,235.4,1.05,20.82,27.89,22.6,29.24,20.82,27.89,29.24,22.86
SINICA,2019/10/21 12:00,121.61416670000001,25.0405,1013.25,24.73,66.65,294.9,0.55,21.68,30.44,23.7,32.39,21.68,30.44,32.39,24.13
SINICA,2019/10/21 12:10,121.61416670000001,25.0405,1013.25,24.892,65.88,356.1,0.7,21.79,31.52,24.0,33.9,21.79,31.52,33.9,24.52
SINICA,2019/10/21 12:20,121.61416670000001,25.0405,1013.25,24.994,65.74,442.9,0.7,22.22,33.51,24.8,36.57,22.22,33.51,36.57,25.37
SINICA,2019/10/21 12:30,121.61416670000001,25.0405,1013.25,25.025,65.77,404.7,0.65,22.17,32.89,24.6,35.67,22.17,32.89,35.67,25.16
SINICA,2019/10/21 12:40,121.61416670000001,25.0405,1013.25,25.671,64.55,470.8,0.4,23.47,36.46,26.3,39.88,23.47,36.46,39.88,26.97
SINICA,2019/10/21 12:50,121.61416670000001,25.0405,1013.25,25.480999999999998,63.75,457.8,0.85,22.23,33.75,24.9,36.84,22.23,33.75,36.84,25.48
SINICA,2019/10/21 13:00,121.61416670000001,25.0405,1013.25,25.487,63.83,552.9,1.0,22.41,35.16,25.3,38.88,22.41,35.16,38.88,26.01
SINICA,2019/10/21 13:10,121.61416670000001,25.0405,1013.25,26.079,62.98,434.2,0.6,22.9,34.8,25.6,37.84,22.9,34.8,37.84,26.21
SINICA,2019/10/21 13:20,121.61416670000001,25.0405,1013.25,25.229,64.62,357.8,0.7,21.94,31.88,24.3,34.27,21.94,31.88,34.27,24.73
SINICA,2019/10/21 13:30,121.61416670000001,25.0405,1013.25,25.003,65.34,298.7,0.95,21.38,29.86,23.4,31.71,21.38,29.86,31.71,23.81
SINICA,2019/10/21 13:40,121.61416670000001,25.0405,1013.25,24.945,65.28,276.1,0.7,21.44,29.81,23.5,31.56,21.44,29.81,31.56,23.81
SINICA,2019/10/21 13:50,121.61416670000001,25.0405,1013.25,24.401999999999997,65.8,238.0,0.95,20.69,28.03,22.5,29.41,20.69,28.03,29.41,22.81
SINICA,2019/10/21 14:00,121.61416670000001,25.0405,1013.25,24.302,66.19,236.1,1.15,20.56,27.66,22.4,28.98,20.56,27.66,28.98,22.62
SINICA,2019/10/21 14:10,121.61416670000001,25.0405,1013.25,24.506999999999998,65.96,236.4,0.65,21.04,28.59,22.9,30.04,21.04,28.59,30.04,23.19
SINICA,2019/10/21 14:20,121.61416670000001,25.0405,1013.25,24.575,66.29,198.8,0.3,21.48,28.67,23.2,29.87,21.48,28.67,29.87,23.47
SINICA,2019/10/21 14:30,121.61416670000001,25.0405,1013.25,24.158,66.39,179.6,0.65,20.51,26.95,22.2,27.94,20.51,26.95,27.94,22.36
SINICA,2019/10/21 14:40,121.61416670000001,25.0405,1013.25,23.949,67.25,149.4,0.55,20.39,26.18,21.9,26.94,20.39,26.18,26.94,22.06
SINICA,2019/10/21 14:50,121.61416670000001,25.0405,1013.25,23.889,67.37,133.2,0.6,20.23,25.68,21.7,26.3,20.23,25.68,26.3,21.81
SINICA,2019/10/21 15:00,121.61416670000001,25.0405,1013.25,23.755,67.66,107.6,0.4,20.16,25.11,21.5,25.54,20.16,25.11,25.54,21.6
SINICA,2019/10/21 15:10,121.61416670000001,25.0405,1013.25,23.804000000000002,67.34,101.1,0.4,20.11,24.98,21.5,25.35,20.11,24.98,25.35,21.53
